Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A12004_001,SE_A12004_002,SE_A12004_003,SE_A12006_001,Public Schools,Pre School,k-8,G9-12,SE_A12006_006,SE_A12006_007,SE_A12006_008,SE_A12006_009,SE_A12006_010,SE_A12006_011
5300001,"Enumclaw School District, Washington",wa,970,00,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00001,,,,Enumclaw School District,,,,26246,5460,20786,5460,5040,145,2890,1274,731,420,41,122,68,189
5300300,"Auburn School District, Washington",wa,970,00,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00300,,,,Auburn School District,,,,96824,23898,72926,23898,21203,762,11175,5088,4178,2695,435,884,367,1009
5300390,"Bellevue School District, Washington",wa,970,00,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00390,,,,Bellevue School District,,,,142277,32853,109424,32853,25313,702,11968,6710,5933,7540,1804,2893,853,1990
5302820,"Federal Way School District, Washington",wa,970,00,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02820,,,,Federal Way School District,,,,143363,33750,109613,33750,29685,1112,14627,8023,5923,4065,674,1481,429,1481
5302880,"Fife School District, Washington",wa,970,00,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02880,,,,Fife Public Schools,,,,22183,5283,16900,5283,4304,126,2110,1190,878,979,142,538,16,283
5303540,"Highline School District, Washington",wa,970,00,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03540,,,,Highline School District,,,,130777,29479,101298,29479,25762,664,13446,5944,5708,3717,467,1392,476,1382
5303750,"Issaquah School District, Washington",wa,970,00,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03750,,,,Issaquah School District,,,,115909,30371,85538,30371,25227,482,13334,7409,4002,5144,1561,1772,586,1225
5303960,"Kent School District, Washington",wa,970,00,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03960,,,,Kent School District,,,,170625,41849,128776,41849,38007,1555,20115,8261,8076,3842,535,1330,418,1559
5304230,"Lake Washington School District, Washington",wa,970,00,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04230,,,,Lake Washington School District,,,,208742,53404,155338,53404,40972,922,21797,9300,8953,12432,3588,4148,1063,3633
5304560,"Riverview School District, Washington",wa,970,00,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04560,,,,Riverview School District,,,,20444,5308,15136,5308,4020,35,2071,1043,871,1288,360,446,318,164
5304980,"Mercer Island School District, Washington",wa,970,00,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04980,,,,Mercer Island School District,,,,24984,6881,18103,6881,5335,132,2664,1752,787,1546,400,456,270,420
5305910,"Northshore School District, Washington",wa,970,00,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05910,,,,Northshore School District,,,,146162,37055,109107,37055,29523,1035,15435,6489,6564,7532,2640,2593,537,1762
5307230,"Renton School District, Washington",wa,970,00,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07230,,,,Renton School District,,,,124043,27660,96383,27660,22936,824,10427,4846,6839,4724,954,1783,478,1509
5307710,"Seattle School District, Washington",wa,970,00,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07710,,,,Seattle Public Schools,,,,715650,153158,562492,153158,113981,3895,38654,15063,56369,39177,7287,11291,4278,16321
5307920,"Shoreline School District, Washington",wa,970,00,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07920,,,,Shoreline School District,,,,69796,15140,54656,15140,11943,378,5645,2406,3514,3197,766,1042,495,894
5307980,"Skykomish School District, Washington",wa,970,00,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07980,,,,Skykomish School District,,,,398,38,360,38,36,2,16,6,12,2,2,0,0,0
5308040,"Snoqualmie Valley School District, Washington",wa,970,00,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08040,,,,Snoqualmie Valley School District,,,,39113,9806,29307,9806,7443,170,4260,2276,737,2363,730,853,274,506
5308130,"Tukwila School District, Washington",wa,970,00,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08130,,,,Tukwila School District,,,,20217,4485,15732,4485,4050,203,1926,702,1219,435,90,116,13,216
5308760,"Tahoma School District, Washington",wa,970,00,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08760,,,,Tahoma School District,,,,42373,12557,29816,12557,10641,264,6170,2768,1439,1916,468,680,206,562
5309300,"Vashon Island School District, Washington",wa,970,00,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09300,,,,Vashon Island School District,,,,10755,2057,8698,2057,1397,30,588,555,224,660,19,441,107,93
